CODE,SENSOR TECHNOLOGY
municipalitybz:17l5d1,induction_loop
municipalitybz:17l6d0,induction_loop
municipalitybz:17l6d1,induction_loop
municipalitybz:1l0d0,induction_loop
municipalitybz:1l0d1,induction_loop
municipalitybz:1l1d0,induction_loop
municipalitybz:1l1d1,induction_loop
municipalitybz:1l2d0,induction_loop
municipalitybz:1l2d1,induction_loop
municipalitybz:1l3d0,induction_loop
municipalitybz:1l3d1,induction_loop
municipalitybz:1l4d0,induction_loop
municipalitybz:1l4d1,induction_loop
municipalitybz:1l5d0,induction_loop
municipalitybz:1l5d1,induction_loop
municipalitybz:1l6d0,induction_loop
municipalitybz:1l6d1,induction_loop
municipalitybz:1l7d0,induction_loop
municipalitybz:1l7d1,induction_loop
municipalitybz:2,induction_loop
municipalitybz:21,induction_loop
municipalitybz:21l0d0,induction_loop
municipalitybz:21l0d1,induction_loop
municipalitybz:21l1d0,induction_loop
municipalitybz:21l1d1,induction_loop
municipalitybz:22,induction_loop
municipalitybz:22l0d0,induction_loop
municipalitybz:22l0d1,induction_loop
municipalitybz:22l1d0,induction_loop
municipalitybz:22l1d1,induction_loop
municipalitybz:22l2d0,induction_loop
municipalitybz:22l2d1,induction_loop
municipalitybz:23,induction_loop
municipalitybz:23l0d0,induction_loop
municipalitybz:23l0d1,induction_loop
municipalitybz:23l1d0,induction_loop
municipalitybz:23l1d1,induction_loop
municipalitybz:23l2d0,induction_loop
municipalitybz:23l2d1,induction_loop
municipalitybz:23l3d0,induction_loop
municipalitybz:23l3d1,induction_loop
municipalitybz:23l4d0,induction_loop
municipalitybz:23l4d1,induction_loop
municipalitybz:23l5d0,induction_loop
municipalitybz:23l5d1,induction_loop
municipalitybz:23l6d0,induction_loop
municipalitybz:23l6d1,induction_loop
municipalitybz:23l7d0,induction_loop
municipalitybz:23l7d1,induction_loop
municipalitybz:24,induction_loop
municipalitybz:24l0d0,induction_loop
municipalitybz:24l0d1,induction_loop
municipalitybz:24l1d0,induction_loop
municipalitybz:24l1d1,induction_loop
municipalitybz:24l2d0,induction_loop
municipalitybz:24l2d1,induction_loop
municipalitybz:24l3d0,induction_loop
municipalitybz:24l3d1,induction_loop
municipalitybz:25,induction_loop
municipalitybz:25l0d0,induction_loop
municipalitybz:25l0d1,induction_loop
municipalitybz:25l1d0,induction_loop
municipalitybz:25l1d1,induction_loop
municipalitybz:25l2d0,induction_loop
municipalitybz:25l2d1,induction_loop
municipalitybz:25l3d0,induction_loop
municipalitybz:25l3d1,induction_loop
municipalitybz:25l4d0,induction_loop
municipalitybz:25l4d1,induction_loop
municipalitybz:25l5d0,induction_loop
municipalitybz:25l5d1,induction_loop
municipalitybz:26,induction_loop
municipalitybz:26l0d0,induction_loop
municipalitybz:26l0d1,induction_loop
municipalitybz:26l1d0,induction_loop
municipalitybz:26l1d1,induction_loop
municipalitybz:26l2d0,induction_loop
municipalitybz:26l2d1,induction_loop
municipalitybz:26l3d0,induction_loop
municipalitybz:26l3d1,induction_loop
municipalitybz:2l0d0,induction_loop
municipalitybz:2l0d1,induction_loop
municipalitybz:2l1d0,induction_loop
municipalitybz:2l1d1,induction_loop
municipalitybz:3,induction_loop
municipalitybz:3l0d0,induction_loop
municipalitybz:3l0d1,induction_loop
municipalitybz:3l1d0,induction_loop
municipalitybz:3l1d1,induction_loop
municipalitybz:3l2d0,induction_loop
municipalitybz:3l2d1,induction_loop
municipalitybz:4,induction_loop
municipalitybz:4l0d0,induction_loop
municipalitybz:4l0d1,induction_loop
municipalitybz:4l1d0,induction_loop
municipalitybz:4l1d1,induction_loop
municipalitybz:5,induction_loop
municipalitybz:5l0d0,induction_loop
municipalitybz:5l0d1,induction_loop
municipalitybz:5l1d0,induction_loop
municipalitybz:5l1d1,induction_loop
municipalitybz:6,induction_loop
municipalitybz:6l0d0,induction_loop
municipalitybz:6l0d1,induction_loop
municipalitybz:6l1d0,induction_loop
municipalitybz:6l1d1,induction_loop
municipalitybz:6l2d0,induction_loop
municipalitybz:6l2d1,induction_loop
municipalitybz:6l3d0,induction_loop
municipalitybz:6l3d1,induction_loop
municipalitybz:6l4d0,induction_loop
municipalitybz:6l4d1,induction_loop
municipalitybz:6l5d0,induction_loop
municipalitybz:6l5d1,induction_loop
municipalitybz:7,induction_loop
municipalitybz:7l0d0,induction_loop
municipalitybz:7l0d1,induction_loop
municipalitybz:7l1d0,induction_loop
municipalitybz:7l1d1,induction_loop
municipalitybz:7l2d0,induction_loop
municipalitybz:7l2d1,induction_loop
municipalitybz:7l3d0,induction_loop
municipalitybz:7l3d1,induction_loop
municipalitybz:7l4d0,induction_loop
municipalitybz:7l4d1,induction_loop
municipalitybz:7l5d0,induction_loop
municipalitybz:7l5d1,induction_loop
municipalitybz:8,induction_loop
municipalitybz:8l0d0,induction_loop
municipalitybz:8l0d1,induction_loop
municipalitybz:8l1d0,induction_loop
municipalitybz:8l1d1,induction_loop
municipalitybz:8l2d0,induction_loop
municipalitybz:8l2d1,induction_loop
municipalitybz:8l3d0,induction_loop
municipalitybz:8l3d1,induction_loop
municipalitybz:8l4d0,induction_loop
municipalitybz:8l4d1,induction_loop
municipalitybz:8l5d0,induction_loop
municipalitybz:8l5d1,induction_loop
municipalitybz:9,induction_loop
municipalitybz:9l0d0,induction_loop
municipalitybz:9l0d1,induction_loop
municipalitybz:9l1d0,induction_loop
municipalitybz:9l1d1,induction_loop
