Tipologia evento,IdSottotipo,Descrizione
,200,"Obbligo inversione mezzi pesanti > 7,5 T"
,201,"Obbligo sosta per mezzi pesanti > 7,5 T"
,220,Limite di velocità 110 Km/h
,221,Limite di velocità 60 Km/h
Anomalie della viabilità,70,Fondo sdrucciolevole
,71,Mezzo pesante in panne
,72,Transito eccezionale
,73,Veicoli lenti
,74,Veicolo in panne
,75,Veicolo contromano
,76,Perdita del carico
,77,Veicolo incendiato
,78,Ostruzioni sulla strada
,79,Caduta alberi
,80,Materiale in carreggiata
,81,Animali in carreggiata
,82,Persone sulla carreggiata
,107,Veicolo abbandonato
,108,Anomalie del fondo stradale
,111,Mezzo pesante in sosta
,171,Fumo in carreggiata
Evento ambientale,83,Sversamento combustibili
,84,Sversamento liquidi inquinanti
,85,Materiali pericolosi
,86,Rifiuti speciali
,87,Abbandono materiali vari
Informazione,88,Controlli velocità
,89,Dimostrazione
,90,Manifestazione fieristica
,91,Manifestazioni sportive
,92,Posto di blocco/Controlli polizia
,93,Sciopero
,94,Vari eventi straordinari
,95,Disinnesco ordigno bellico
,96,Limitazioni in viabilità ordinaria
,97,Campagne informative
,98,Cerimonia ufficiale
,101,Personale sulla carreggiata
,139,Data e ora
,170,Occupazione parcheggi
BrennerLEC,172,BrennerLec B4 (BZ-SM)
,173,BrennerLec B3 110 T3 (km 138-167)
,177,BrennerLec B4 II S.103 (BZ-SM)
,178,BrennerLec B4 II S.107 (EGNA-SM)
,179,BrennerLec B3 II (BZ.N-ROV.S)
,181,BrennerLec B3 100 T3 (km 138-167)
,182,BrennerLec B3 90 T3 (km 138-167)
,183,BrennerLec B4 II S.100/107 vel 110 (BZ-SM)
,184,BrennerLec B4 II S.100/107 vel 100 (BZ-SM)
,185,BrennerLec B4 II S.100/107 vel 90 SUD
,186,BrennerLec B4 II S.107/100 vel 90 NORD
,187,BrennerLec B3 II 110 T1 (km 77-100)
,188,BrennerLec B3 II 100 T1 (km 77-100)
,189,BrennerLec B3 II 90 T1 (km 77-100)
,190,BrennerLec B3 II 110 T2 (km 100-138)
,191,BrennerLec B3 II 100 T2 (km 100-138)
,192,BrennerLec B3 II 90 T2 (km 100-138)
,202,BrennerLec B3 III 80 T3 (km 138-167)
,203,BrennerLec B3 III 80 T1 (km 77-100)
,204,BrennerLec B3 III 80 T2 (km 100-138)
,210,BrennerLec B3Nord 110 T2 (km 142-121)
,211,BrennerLec B3Nord 100 T2 (km 142-121)
,212,BrennerLec B3Nord 90 T2 (km 142-121)
,213,BrennerLec B3Nord 80 T2 (km 142-121)
,214,BrennerLec B3Nord 110 T1 (km 121-85)
,215,BrennerLec B3Nord 100 T1 (km 121-85)
,216,BrennerLec B3Nord 90 T1 (km 121-85)
,217,BrennerLec B3Nord 80 T1 (km 121-85)
Chiusure,34,Allacciamento chiuso
,37,Chiusura tratto autostradale
,38,Corsia di accelerazione/decelerazione chiusa
,45,Chiusura svincolo in entrata
,46,Chiusura svincolo in uscita
,193,Uscita consigliata
,194,Uscita obbligatoria
,195,Uscita consigliata mezzi leggeri
,196,Uscita obbligatoria mezzi leggeri
,205,"Chiusura tratto stradale per mezzi > 7,5T"
,209,Entrata consigliata
